WHAT IS THE MODEL ATTRIBUTE MATRIX?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipe Fitting,IfcPipeFitting,MEP,Not required (hidden),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,IfcPlate,ST,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pump,IfcPump,MEP,Not required (hidden),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Railings ,IfcRailing,AR,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramp,IfcRampFlight,AR,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roof,IfcRoof,AR,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Room (Spaces),IfcSpace,AR,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanitary Terminal,IfcSanitaryTerminal,MEP,Not required (hidden),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor,IfcSensor,MEP,Not required (hidden),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shading Device,IfcShadingDevice,MEP,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stair,IfcStair,ST,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StairFlight,IfcStairFlight,ST,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topography,IfcSite,ALL,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transformer,IfcTransformer,MEP,Not required (hidden),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transport Element ,IfcTransportElement,AR,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valve,IfcValve,MEP,Not required (hidden),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wall,IfcWall,"AR, ST",Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Terminal ,IfcWasteTerminal,MEP,Not required (hidden),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Tank,IfcTank,AR,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Window,IfcWindow,AR,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
