Code,Zone Category,Space Description,Space Category Codes,Source (for internal use),Include in BuildUp Area Calc.?,Include in Gross Area Calc.?,Include in Net Area Calc.?,Include in Gross Floor Area Calc.?,,,,,,,,,,,,,,,,,,,,,,,,,
99,Other Areas,Bicycle Parking,SC_30_10_35,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False And (IsExternal)=False,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
100,Other Areas,Car Parking,SC_30_10_40,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False And (IsExternal)=False,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
101,Other Areas,Garage,SC_30_10_45,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
102,Other Areas,Garbage Room,SC_30_15_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
103,Other Areas,Main Garbage Room,SC_30_15_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
104,Other Areas,Garbage Collection Room,SC_30_15_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
105,Other Areas,Terrace,SC_30_20_10,DM_GIS_BDDS_v5.3,No,No,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
106,Other Areas,Balcony,SC_30_20_15,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,No,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
107,Other Areas,Pergola,SC_30_20_20,DM_GIS_BDDS_v5.3,No,No,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
108,Other Areas,Store,SC_30_25_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
109,Other Areas,Archive,SC_30_25_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
110,Other Areas,Storing Space,SC_30_25_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
111,Other Areas,Locker Room,SC_30_25_25,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
112,Other Areas,Vault Room,SC_30_25_30,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
113,Other Areas,Janitor room (cleaniner storage),SC_30_25_35,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
114,Other Areas,Deposite Room,SC_30_25_40,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
115,Other Areas,Equipment Room,SC_30_25_45,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
116,Other Areas,PWD Ramp,SC_30_30_10,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False And (IsExternal)=False,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
117,Retailing Area,Shop,SC_35_10_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
118,Retailing Area,Showroom ,SC_35_10_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
119,Retailing Area,Promotion Area,SC_35_10_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
120,Technical Services,BMS Room,SC_40_10_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
121,Technical Services,Control Room,SC_40_10_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
122,Technical Services,CCTV Room,SC_40_10_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
123,Technical Services,IT Room,SC_40_10_25,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
124,Technical Services,Services Room,SC_40_10_30,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
125,Technical Services,Emergency Command Centre,SC_40_10_31,BIM_Standards,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
126,Technical Services,Telephone Room,SC_40_15_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
127,Technical Services,GSM Room,SC_40_15_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
128,Technical Services,Gas Room,SC_40_20_10,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
129,Technical Services,Water Meter ,SC_40_20_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
130,Technical Services,Electrical Room,SC_40_25_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
131,Technical Services,Substation Room,SC_40_25_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
132,Technical Services,HV Room,SC_40_25_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
133,Technical Services,LV Room,SC_40_25_25,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
134,Technical Services,Transformer Room,SC_40_25_30,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
135,Technical Services,RMU Room,SC_40_25_35,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
136,Technical Services,Generator Room,SC_40_25_40,BIM_Standards,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
137,Technical Services,MEP Room,SC_40_25_45,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
138,Technical Services,Water Tank,SC_40_30_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
139,Technical Services,Water Room,SC_40_30_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
140,Technical Services,Pump Room,SC_40_30_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
141,Technical Services,Mechanical Room,SC_40_35_15,DM_GIS_BDDS_v5.3,Yes If(IfcSpace.IsCovered)=True and (IsLightWeightCovering)=False ,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
142,Technical Services,Elevator Room,SC_40_35_25,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
143,Technical Services,HVAC Room,SC_40_35_30,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
144,Technical Services,Fan Room,SC_40_35_35,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
145,Technical Services,Compressor Room,SC_40_35_40,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
146,Technical Services,Fire Hose Cabinet,SC_40_35_45,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
147,Technical Services,FIC,SC_40_40_10,BPC_LookupV2.0.xlsx,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
148,Technical Services,Mailbox Room,SC_40_45_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
149,Vertical Penetrations,Staircase,SC_45_10_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
150,Vertical Penetrations,Staircase Opening,SC_45_10_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
151,Vertical Penetrations,Escalator,SC_45_10_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
152,Vertical Penetrations,Elevator (Lift opening),SC_45_10_25,DM_GIS_BDDS_v5.3,No,No,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
153,Vertical Penetrations,Shaft,SC_45_15_10,DM_GIS_BDDS_v5.3,No,No,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
154,Vertical Penetrations,Duct,SC_45_15_15,DM_GIS_BDDS_v5.3,No,No,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
155,Vertical Penetrations,HVAC,SC_45_15_20,DM_GIS_BDDS_v5.3,No,No,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
156,Vertical Penetrations,Garbage Chute,SC_45_15_25,DM_GIS_BDDS_v5.3,No,No,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
157,Vertical Penetrations,Roof Drain,SC_45_15_30,DM_GIS_BDDS_v5.3,No,No,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
158,Vertical Penetrations,Void,SC_45_20_10,DM_GIS_BDDS_v5.3,No,No,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
159,Workspace,Reception,SC_50_10_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
160,Workspace,Office,SC_50_15_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
161,Workspace,Enclosed Office,SC_50_15_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
162,Workspace,Open Office,SC_50_15_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
163,Workspace,Government Office,SC_50_15_25,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
164,Workspace,Business Center Office,SC_50_15_30,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
165,Workspace,Civil Defense Room,SC_50_15_35,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
166,Workspace,Meeting Room,SC_50_15_40,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
167,Workspace,Conference Hall,SC_50_15_45,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
168,Workspace,Working Station,SC_50_15_50,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
169,Workspace,Commercial Area ,SC_50_15_55,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
170,Workspace,Printer Room,SC_50_15_60,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
171,Workspace,Education,SC_50_20_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
172,Workspace,Class Room,SC_50_20_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
173,Workspace,Lecture Hall,SC_50_20_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
174,Workspace,Training Room,SC_50_20_25,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
175,Workspace,Warehouse,SC_50_25_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
176,Workspace,Production Area,SC_50_25_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
177,Workspace,Workshop,SC_50_25_20,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
178,Workspace,Loading Area,SC_50_25_25,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
179,Workspace,Unloading Area,SC_50_25_30,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
180,Workspace,Medical Room,SC_50_30_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
181,Workspace,Consultation Room,SC_50_30_15,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
182,Workspace,Operation Room,SC_50_30_20,BPC_LookupV2.0.xlsx,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
183,Workspace,Server Room,SC_50_35_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,No,,,,,,,,,,,,,,,,,,,,,,,,,
184,Workspace,Hotel Room,SC_50_40_10,DM_GIS_BDDS_v5.3,Yes,Yes,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,If(IsOccupiedSpace)=True or (IsHabitableSpace)=True,,,,,,,,,,,,,,,,,,,,,,,,,
