Building Master Usage,Unit ,UnitUsageCode,Required Extra Info,Source (for internal use),,,,
Commercial,Restaurants,CM_07,"[WCs:?],[Sinks:?],[Persons:?]",DM_GIS_BDDS_v5.3,,,,
Commercial,Offices,CM_08,"[WCs:?],[Sinks:?],[Persons:?]",DM_GIS_BDDS_v5.3,,,,
Commercial,Banks,CM_09,"[WCs:?],[Sinks:?],[Persons:?]",DM_GIS_BDDS_v5.3,,,,
Commercial,Business Center,CM_10,N/A,DM_GIS_BDDS_v5.3,,,,
Commercial,Playing Area,CM_11,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Commercial,Parking Area,CM_80,N/A,DM_GIS_BDDS_v5.3,,,,
Commercial,Others,CM_90,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Workshop,IN_01,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Industrial,Warehouses,IN_02,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Industrial,Factory,IN_03,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Industrial,Garage,IN_04,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Contracting Sites,IN_05,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Garageer (Fishing Facility),IN_06,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Kitchen,IN_07,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Press,IN_08,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Openshed,IN_09,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Management Office,IN_10,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Parking Area,IN_80,N/A,DM_GIS_BDDS_v5.3,,,,
Industrial,Others,IN_90,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Villa,AG_01,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Service Blocks,AG_02,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Management Office,AG_03,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Labour Rooms,AG_04,"[Persons:?],[Showers:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Agricultural,Storing Area,AG_05,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Open Storing Area,AG_06,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Stables,AG_07,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Animals Shelter,AG_08,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Veternary Clinic,AG_09,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Barns,AG_10,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Production Area,AG_11,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Covered Plants Area,AG_12,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Parking Area,AG_80,N/A,DM_GIS_BDDS_v5.3,,,,
Agricultural,Others,AG_90,N/A,DM_GIS_BDDS_v5.3,,,,
Security ,Police Station,SE_01,N/A,DM_GIS_BDDS_v5.3,,,,
Security ,Police Check Point,SE_02,N/A,DM_GIS_BDDS_v5.3,,,,
Security ,Civil Defence Station,SE_03,N/A,DM_GIS_BDDS_v5.3,,,,
Security ,Control Tower,SE_04,N/A,DM_GIS_BDDS_v5.3,,,,
Security ,Control Point,SE_05,N/A,DM_GIS_BDDS_v5.3,,,,
Security ,Management Offices,SE_06,N/A,DM_GIS_BDDS_v5.3,,,,
Security ,Parking Area,SE_80,N/A,DM_GIS_BDDS_v5.3,,,,
Security ,Others,SE_90,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Management Office,HS_01,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Outpatient Unit,HS_02,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Patient Room,HS_03,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Emergency Department,HS_04,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Operation Department,HS_05,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Radiology Department,HS_06,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Intensive Care Unit,HS_07,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Physiopherapy Departments,HS_08,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Pharmacy,HS_09,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Laboratories,HS_10,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Morgue,HS_11,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Shop,HS_12,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Ambulance Unit,HS_13,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Parking Area,HS_80,N/A,DM_GIS_BDDS_v5.3,,,,
Health Service,Others,HS_90,N/A,DM_GIS_BDDS_v5.3,,,,
Educational,Class Room,ED_01,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Educational,Baby Room,ED_02,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Educational,"Educational Support Rooms ( Art , Music,..)",ED_03,N/A,DM_GIS_BDDS_v5.3,,,,
Educational,Administration Unit,ED_04,N/A,DM_GIS_BDDS_v5.3,,,,
Educational,Multipurpose Hall Unit,ED_05,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Educational,Theatre,ED_06,"[Seats:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Educational,Sports Hall,ED_07,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Educational,Dinning Hall / Canteen,ED_08,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Educational,Training Hall,ED_09,N/A,DM_GIS_BDDS_v5.3,,,,
Educational,Teachers Room,ED_10,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Educational,Laboratory,ED_11,N/A,DM_GIS_BDDS_v5.3,,,,
Educational,Library,ED_12,N/A,DM_GIS_BDDS_v5.3,,,,
Educational,Clinic,ED_13,N/A,DM_GIS_BDDS_v5.3,,,,
Educational,Indoor Playing,ED_14,N/A,DM_GIS_BDDS_v5.3,,,,
Educational,Parking Area,ED_80,N/A,DM_GIS_BDDS_v5.3,,,,
Educational,Others,ED_90,N/A,DM_GIS_BDDS_v5.3,,,,
Religious,Main Praying Area,RG_01,"[Persons:?],[WCs:?],[Ablutions:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Religious,Secondary Praying Area,RG_02,"[Persons:?],[WCs:?],[Ablutions:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Religious,Women Praying Area,RG_03,"[Persons:?],[WCs:?],[Ablutions:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Religious,Out Door (Open Or Covered) Praying Area,RG_04,"[Persons:?],[WCs:?],[Ablutions:?],[Sinks:?]",BPC_LookupV2.0.xlsx,,,,
Religious,Quran Memorizing (Tahfeez ) Classes,RG_05,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Religious,Library,RG_06,N/A,DM_GIS_BDDS_v5.3,,,,
Religious,Imam Residence,RG_07,N/A,DM_GIS_BDDS_v5.3,,,,
Religious,Mo'Athen Residence,RG_08,N/A,DM_GIS_BDDS_v5.3,,,,
Religious,Servant Room,RG_09,N/A,DM_GIS_BDDS_v5.3,,,,
Religious,Administration Unit,RG_10,N/A,DM_GIS_BDDS_v5.3,,,,
Religious,Condolences Hall,RG_11,"[Persons:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Religious,Parking Area,RG_80,N/A,DM_GIS_BDDS_v5.3,,,,
Religious,Others,RG_90,N/A,DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Management Office,PU_01,N/A,DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Theatre,PU_02,"[Seats:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Stadium,PU_03,"[Seats:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Cinema,PU_04,"[Seats:?],[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Recreation Facilities,PU_05,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Library,PU_06,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Wedding Hall,PU_07,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Accommodation Room,PU_08,N/A,DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Shop,PU_09,N/A,DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Restaurant,PU_10,N/A,DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Dinning Hall / Canteen,PU_11,N/A,DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Spa,PU_12,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Sports Facilities,PU_13,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Multipurpose Hall Unit,PU_14,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Gymnasium,PU_15,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Museum,PU_16,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Majles,PU_17,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Club,PU_18,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Parking Area,PU_80,N/A,DM_GIS_BDDS_v5.3,,,,
Culture And Social Recreation Services ,Others,PU_90,N/A,DM_GIS_BDDS_v5.3,,,,
Open Areas,Park,OA_01,N/A,DM_GIS_BDDS_v5.3,,,,
Open Areas,Plaza,OA_02,N/A,DM_GIS_BDDS_v5.3,,,,
Open Areas,Zoo,OA_03,N/A,DM_GIS_BDDS_v5.3,,,,
Open Areas,Sports Courts,OA_04,N/A,DM_GIS_BDDS_v5.3,,,,
Open Areas,Beach,OA_05,N/A,DM_GIS_BDDS_v5.3,,,,
Open Areas,Landscape,OA_06,N/A,DM_GIS_BDDS_v5.3,,,,
Open Areas,Race Course,OA_07,N/A,DM_GIS_BDDS_v5.3,,,,
Open Areas,Lake,OA_08,N/A,DM_GIS_BDDS_v5.3,,,,
Open Areas,Scout Camp,OA_09,N/A,DM_GIS_BDDS_v5.3,,,,
Open Areas,Walk Way\Promenade,OA_10,N/A,DM_GIS_BDDS_v5.3,,,,
Open Areas,Sports Facilities,OA_11,N/A,DM_GIS_BDDS_v5.3,,,,
Open Areas,Recreational Facilities,OA_12,N/A,DM_GIS_BDDS_v5.3,,,,
Open Areas,Kids Play Area Unit,OA_13,N/A,DM_GIS_BDDS_v5.3,,,,
Open Areas,Swimming Pools,OA_14,"[WCs:?],[Sinks:?],Showers:?]",DM_GIS_BDDS_v5.3,,,,
Open Areas,Commercial,OA_15,N/A,DM_GIS_BDDS_v5.3,,,,
Open Areas,Parking Area,OA_80,N/A,DM_GIS_BDDS_v5.3,,,,
Open Areas,Others,OA_90,N/A,DM_GIS_BDDS_v5.3,,,,
Government/Administrative Service,Management Office,GV_01,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Government/Administrative Service,Post Office,GV_02,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Government/Administrative Service,Courts,GV_03,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Government/Administrative Service,Consulate,GV_04,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Government/Administrative Service,Residential Unit,GV_05,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Government/Administrative Service,Laboratory,GV_06,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Government/Administrative Service,Parking Area,GV_80,N/A,DM_GIS_BDDS_v5.3,,,,
Government/Administrative Service,Others,GV_90,N/A,DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Substation,SU_01,N/A,DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Cooling Plant,SU_02,N/A,DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Gsm/Meet Me Room,SU_03,N/A,DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Pumping & Sewage Treatment Station,SU_04,N/A,DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Communication Hub(Maqsam),SU_05,N/A,DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Service Block,SU_06,N/A,DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Tanks,SU_07,N/A,DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Management Office,SU_08,N/A,DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Communication Hub(Maqsam),SU_09,N/A,DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Shops,SU_10,N/A,DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Restaurant,SU_11,N/A,DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Petrol Station,SU_12,"[WCs:?],[Sinks:?]",DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Mini Mart,SU_13,N/A,DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Car Service,SU_14,N/A,DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Car Service Shops,SU_15,N/A,DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Parking Area,SU_80,N/A,DM_GIS_BDDS_v5.3,,,,
Services/Utilities,Others,SU_90,N/A,DM_GIS_BDDS_v5.3,,,,
Others,Temporary Structures,OT_01,N/A,DM_GIS_BDDS_v5.3,,,,
Others,Metro Station,OT_02,N/A,DM_GIS_BDDS_v5.3,,,,
Others,Port,OT_03,N/A,DM_GIS_BDDS_v5.3,,,,
Others,Management Office,OT_04,N/A,DM_GIS_BDDS_v5.3,,,,
Others,Commercial,OT_05,N/A,DM_GIS_BDDS_v5.3,,,,
Others,Parking Area,OT_80,N/A,DM_GIS_BDDS_v5.3,,,,
Others,Others,OT_90,N/A,DM_GIS_BDDS_v5.3,,,,
