Distribution Board (IfcElectricDistributionBoard),,,,,,"Predefined Type , IFC 2x3","Predefined Type, IFC 4",Object type override sample,
"Description: An IfcElectricDistributionBoard is a flow controller in which instances of electrical devices are brought together at a single place for a particular purpose. A distribution provides a housing for connected electrical distribution elements so that they can be viewed, operated or acted upon from a single place. Each connected item may have its own geometric representation and location.",,,,,,"CONSUMERUNIT, DISTRIBUTIONBOARD, MOTORCONTROLCENTRE, SWITCHBOARD","CONSUMERUNIT, DISTRIBUTIONBOARD, MOTORCONTROLCENTRE, SWITCHBOARD",/,
Attribute,IFC Reference,Property Set,User Input (YES/NO),Data Type,Data Sample,Preliminary Permit,Final Permit,Inspection Permits,
PredefinedType,PredefinedType,_,YES,Text,SWITCHBOARD,Y,Y,Y,
Status,Status,Pset_ElectricDistributionBoardTypeCommon,YES,Text,"New, Existing",Y,Y,Y,
IsMain,IsMain,Pset_ElectricDistributionBoardOccurrence,YES,Boolean,YES/NO,N,Y,Y,
IsSkilledOperator,IsSkilledOperator,Pset_ElectricDistributionBoardOccurrence,YES,Boolean,YES/NO,N,N,Y,
ObjectTypeOverride,ObjectTypeOverride,Building Permit,YES,Text,,Y,Y,Y,
